param n := 7;
param m := 14;

param capacidad := 
1   2
2   4
3   2
4   3
5   2
6   1
7   1
8   1
9   4
10  2
11  4
12  2
13  3
14  3;

param arcos_entrada :=
1   1
2   1
3   1
4   1
5   0
6   0
7   0
8   0
9   0
10  0
11  0
12  0
13  0
14  0;

param arcos_salida := 
1   0
2   0
3   0
4   -1
5   0
6   0
7   -1
8   0
9   0
10  -1
11  0
12  0
13  -1
14  -1;

param matriz [*,*] :
    1   2   3   4   5   6   7   8   9   10  11  12  13  14 :=
2   0   0   -1  0   1   1   0   0   0   0   0   0   0   0
3   0   0   0   0   -1  0   1   1   0   0   0   0   0   0
4   -1  0   0   0   0   0   0   0   1   1   1   0   0   0
5   0   0   0   0   0   0   0   0   0   0   -1  1   1   0 
6   0   -1  0   0   0   -1  0   -1  -1  0   0   -1  0   1;
